,Close,ROI,RSI,Sell Signal,Buy Signal
170,1.0789991581091023,-0.0006137492121566224,40.24472937752266,0,0
171,1.0796617996880564,0.0015053140163554524,42.132069311167434,0,0
172,1.0780390124524337,0.00031417083732310225,35.48245715852717,0,0
173,1.0777004304058297,0.000437181117781682,36.96378766363448,0,0
174,1.0772294860150262,0.0007532117504116531,33.3130939579173,0,0
175,1.076418714790683,0.0011948464143802795,31.450148983882315,0,0
176,1.0751340946726853,0.00030613800917644873,24.156874989269014,0,0
177,1.074805055992591,-0.0037318685342293545,41.737778090348115,0,1
178,1.0788311118727365,-0.0022104553000653615,44.64281683261819,0,0
179,1.081221102789941,0.0,56.17712484387679,0,0
180,1.081221102789941,6.178911337229032e-05,46.59047910024323,0,0
181,1.0811542992243732,-0.002500985770451436,46.41385589319786,0,0
182,1.0838650302420987,-0.0004014206233766693,54.291449665417595,0,0
183,1.0843002907407353,0.0017975641453231717,53.36077791741072,0,0
184,1.0823546887596984,6.939255444704528e-05,43.51570553169823,0,0
185,1.0822795866145574,-0.00012726738148505223,41.97099188510981,0,0
186,1.0824173430354795,0.0006409641696811796,42.060814119943636,0,0
187,1.0817239967121028,-0.000684606998784032,41.01721360513144,0,0
188,1.0824650598680277,0.0003596821606082212,40.934979696537965,0,0
189,1.0820758564860247,-0.0005016926858265602,37.615725018512265,0,0
190,1.0826189985191186,0.004347789267523439,36.69492780639883,0,0
191,1.0779323757049126,-0.002597290908483596,18.616393664105104,0,0
192,1.080739370245692,0.0014568325407713356,20.40271663241232,0,0
193,1.0791672043454683,-0.0031990709778303428,27.79403312268613,0,0
194,1.0826306165305217,0.0,33.013326296255485,0,1
195,1.0826306165305217,0.00024956450801694174,56.587229143211395,0,0
196,1.0823604977654,-0.0006880329765472926,55.96717766898256,0,0
197,1.083105710211112,-0.001449431148960123,58.43918131741145,0,0
198,1.0846778761113356,-0.0005066042071470989,66.5891033846355,0,0
199,1.0852276570080883,-9.13715791570624e-05,72.91043555311916,0,0
200,1.0853268250339931,0.00034419550610698124,65.55195184802864,1,0
201,1.08495338895318,-0.0007177058178118312,63.11360323344057,0,0
202,1.0857326255751434,-0.0008602769687094947,65.57988428496034,0,0
203,1.0866674605641127,-0.0009285263592381243,66.71585716345348,0,0
204,1.087677397698223,0.00047440665772291446,68.843352620598,0,0
205,1.0871616409777223,-0.001409779809086853,66.25415374551457,0,0
206,1.0886964632698644,0.002723673102667412,70.95439148158235,0,0
207,1.0857392644388024,-0.0010422166459176374,68.85358478567491,1,0
208,1.0868720205506024,0.006236984673750889,75.313696178784,0,0
209,1.080135233652732,0.0,62.43834922592325,1,0
210,1.080135233652732,7.184034999707656e-05,72.60618779604947,0,0
211,1.0800576419337184,0.0012231644263780428,72.47851855477171,0,0
212,1.0787381677815118,0.0025172695954092106,70.18041769805052,0,0
213,1.0760295114086798,-0.0021839488226453874,68.90942238024363,1,0
214,1.0783846482916752,-0.0005998795626417364,82.98619320836102,0,0
215,1.0790319374984183,0.00013652969213162613,77.52629103258883,0,0
216,1.0788846377109862,-0.0005127808907241516,65.68550347097977,1,0
217,1.079438152968547,-0.0003085727109517489,68.08959533633049,0,0
218,1.0797713409384284,-0.000518118197778028,64.4602774714347,0,0
219,1.0803310801306694,-0.00011904931060868762,68.91395364522562,0,0
220,1.0804597081140608,0.0014964970200825878,67.14637256409624,0,0
221,1.0788452194580116,0.0012603978975653796,68.52885699936995,0,0
222,1.0774871569107876,0.00034631534342621784,64.98915083705911,0,0
223,1.0771141357589529,0.00419216088737473,64.18824359310236,0,0
224,1.072617550416983,0.0,46.23187300927763,0,0
225,1.072617550416983,3.520347609198282e-05,37.40382901011357,0,0
226,1.072579791879923,0.0019356754204882254,37.264485261810215,0,0
227,1.070507636560388,0.000637232942964916,28.24330434578451,0,0
228,1.0698259082484147,-0.0014519279775561111,26.5451147955216,0,0
229,1.0713814769894912,-0.002263189153075773,28.659265186425515,0,0
230,1.073811716017628,4.173375948135494e-05,47.40590268107797,0,1
231,1.0737669036879305,-0.001130940962179694,41.24487583635619,0,0
232,1.0749826455954667,0.0010618176478882635,46.23543328989665,0,0
233,1.0738424207620505,-0.0005395047215349669,50.18672689518603,0,0
234,1.0744220765452681,0.0022166014819917645,54.1247300729552,0,0
235,1.07204577828436,-0.0002530627754331327,39.37533902084758,0,0
236,1.0723171418364177,-7.738862905504185e-06,41.61620027187858,0,0
237,1.0723254404159912,-0.001248266243209395,43.286876952660556,0,0
238,1.073665661017132,-0.0030264571302637266,44.4977847639097,0,0
239,1.0769249281446742,0.0,56.29221185156238,0,0
240,1.0769249281446742,-0.0001332927548067797,59.03793808463558,0,0
241,1.077068493571298,0.0003132975745065991,59.62525068060566,0,0
242,1.07673115631163,-0.0004421975058981342,58.55144537258039,0,0
243,1.0772074947791561,0.0024790468412425604,53.51600529022265,0,0
244,1.0745436507360218,-0.0018666064378073388,41.07139745113952,0,0
