Date,Close,Net,PerctChg,Open,Low,High,Volume,O-C,H-L,PercentCVol,ROI,SMA 5,SMA 10,SMA 15,buySignal1,buySignal2,sellSignal1,sellSignal2,closePriceSMA5,closePriceSMA10,closePriceSMA15,ROI_8,state,exit_Signal,EMA 5,EMA 10,EMA 15,buySignal1EMA,buySignal2EMA,closePriceEMA5,closePriceEMA10,closePriceEMA15
2019-03-14 16:30:00,1.06677991462,-2.97,-0.0001,25711.53,25709.53,25712.21,62981485.0,-1.59,2.68,0.3159,,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1.06677991462,1.06677991462,1.06677991462,0,0,1.0,1.0,1.0
2019-03-14 16:00:00,1.06690314852,-0.73,0.0,25713.61,25701.14,25733.46,47862490.0,-0.7,32.32,1.6736,0.0001155195228,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1.06682099258,1.06680232078,1.06679531885,1,1,1.00007701005,1.00009451399,1.00010107812
2019-03-14 15:30:00,1.06693343834,14.83,0.0006,25698.36,25694.95,25724.15,17901610.0,15.28,29.2,0.2317,2.83904077756e-05,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1.0668584745,1.06682616034,1.06681258379,0,0,1.00007026596,1.00010055809,1.00011328564
2019-03-14 15:00:00,1.06631809866,-3.26,-0.0001,25701.85,25673.7,25706.05,14533927.0,-3.04,32.35,0.1613,-0.000576736704722,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1.06667834922,1.06673378549,1.06675077315,0,0,0.999662268799,0.999610318123,0.999594399651
2019-03-14 14:30:00,1.06645336551,8.76,0.0003,25693.25,25682.25,25706.61,12514884.0,8.82,24.36,0.1576,0.000126854122817,1.06667759313,,,NA,NA,NA,NA,0.99978978875948676,NA,NA,,NA,NA,1.06660335465,1.06668280004,1.06671359719,0,0,0.999859376833,0.999784908384,0.999756043529
2019-03-14 14:00:00,1.06608988772,-20.27,-0.0008,25713.76,25683.57,25720.67,10811151.0,-20.45,37.1,0.0976,-0.000340828579177,1.06653958775,,,NA,NA,NA,NA,0.99957835599141431,NA,NA,,NA,NA,1.06643219901,1.0665749978,1.06663563351,0,0,0.999679012613,0.999545170218,0.99948834844
2019-03-14 13:30:00,1.06693094876,-1.24,0.0,25715.1,25695.96,25717.07,9849658.0,-1.52,21.11,-0.0822,0.000788921318429,1.0665451478,,,NA,NA,NA,NA,1.0003617296137663,NA,NA,,NA,NA,1.06659844893,1.06663971616,1.06667254792,0,0,1.00031173853,1.00027303747,1.00024224946
2019-03-14 13:00:00,1.06698239996,-6.97,-0.0003,25721.91,25709.9,25730.47,10732353.0,-7.09,20.57,-0.2278,4.82235456907e-05,1.06655494012,,,NA,NA,NA,NA,1.0004007855739605,NA,NA,,NA,NA,1.0667264326,1.0667020223,1.06671127942,1,0,1.00023995595,1.00026284534,1.00025416487
2019-03-14 12:30:00,1.06727160546,-9.64,-0.0004,25732.09,25709.81,25749.89,13899288.0,-10.3,40.08,-0.1212,0.00027104992374,1.06674564148,,,NA,NA,NA,NA,1.0004930547198165,NA,NA,5.76741946692e-05,NA,0,1.06690815689,1.06680558287,1.06678132018,0,1,1.00034065591,1.00043683928,1.00045959305
2019-03-14 12:00:00,1.06767159699,30.59,0.0012,25700.7,25690.42,25752.84,15816051.0,30.73,62.42,-0.0015,0.000374779515733,1.06698928778,1.06683344045,,0,NA,0,NA,1.000639471473949,1.000785648916835,NA,9.0081693786e-05,NA,0,1.06716263692,1.06696303999,1.06689260478,0,0,1.00047692831,1.00066408767,1.00073015054
