Date,Price,BuySignal,SellSignal,ExitSignal
2018-12-24 19:00:00,6192.92,,,
2018-12-24 19:30:00,6192.92,,,
2018-12-24 20:00:00,6192.92,,,
2018-12-26 10:00:00,6269.25,1,,
2018-12-26 10:30:00,6251.29,,,
2018-12-26 11:00:00,6216.12,,,
2018-12-26 11:30:00,6284.04,,,
2018-12-26 12:00:00,6338.32,,,1
2018-12-26 12:30:00,6364.71,,,1
2018-12-26 13:00:00,6407.52,,,1
2018-12-26 13:30:00,6382.04,,,1
2018-12-26 14:00:00,6430.84,,,1
2018-12-26 14:30:00,6407.2,,,1
2018-12-26 15:00:00,6438.33,,,1
2018-12-26 15:30:00,6467.35,,,1
2018-12-26 16:00:00,6553.45,,,1
2018-12-26 16:30:00,6554.36,,,1
2018-12-26 17:00:00,6554.36,,,1
2018-12-26 17:30:00,6554.36,,,1
2018-12-26 18:00:00,6554.36,,,
2018-12-26 18:30:00,6554.36,,,
2018-12-26 19:00:00,6554.36,,,
2018-12-26 19:30:00,6554.36,,,
2018-12-26 20:00:00,6554.36,,,
2018-12-26 20:30:00,6554.36,,,
2018-12-27 10:00:00,6452.18,,1,
2018-12-27 10:30:00,6409.21,,,
2018-12-27 11:00:00,6418.54,,,
2018-12-27 11:30:00,6451.16,,,
2018-12-27 12:00:00,6437.46,,,
2018-12-27 12:30:00,6396.21,,,
2018-12-27 13:00:00,6412.39,,,
2018-12-27 13:30:00,6390.88,,,
2018-12-27 14:00:00,6359.97,,,
2018-12-27 14:30:00,6363.24,,,
2018-12-27 15:00:00,6421.23,,,
2018-12-27 15:30:00,6500.99,,,
2018-12-27 16:00:00,6579.81,1,,
2018-12-27 16:30:00,6579.49,,,
2018-12-27 17:00:00,6579.49,,,
2018-12-27 17:30:00,6579.49,,,
2018-12-27 18:00:00,6579.49,,,
2018-12-27 18:30:00,6579.49,,,
2018-12-27 19:00:00,6579.49,,,
2018-12-27 19:30:00,6579.49,,,
2018-12-27 20:00:00,6579.49,,,
2018-12-27 20:30:00,6579.49,,1,
2018-12-28 10:00:00,6611.44,1,,
2018-12-28 10:30:00,6549.2,,,
2018-12-28 11:00:00,6556.72,,1,
2018-12-28 11:30:00,6576.07,,,
2018-12-28 12:00:00,6595.01,,,
2018-12-28 12:30:00,6596.14,,,
2018-12-28 13:00:00,6589.18,1,,
2018-12-28 13:30:00,6580.43,,,
2018-12-28 14:00:00,6599.41,,,
2018-12-28 14:30:00,6634.39,,,1
2018-12-28 15:00:00,6679.45,,,1
2018-12-28 15:30:00,6596.51,,,1
2018-12-28 16:00:00,6583.49,,,
2018-12-28 16:30:00,6584.52,,,
2018-12-28 17:00:00,6584.52,,,
2018-12-28 17:30:00,6584.52,,1,
2018-12-28 18:00:00,6584.52,,,
2018-12-28 18:30:00,6584.52,,,
2018-12-28 19:00:00,6584.52,,,
2018-12-28 19:30:00,6584.52,,,
2018-12-28 20:00:00,6584.52,,,
2018-12-28 20:30:00,6584.52,1,,
2018-12-31 10:00:00,6630.36,,,1
2018-12-31 10:30:00,6618.95,,,
2018-12-31 11:00:00,6590.04,,,
2018-12-31 11:30:00,6594.03,,,
2018-12-31 12:00:00,6609.53,,,
2018-12-31 12:30:00,6614.74,,,
2018-12-31 13:00:00,6624.24,,,
2018-12-31 13:30:00,6643.3,,,
2018-12-31 14:00:00,6611.3,,,
2018-12-31 14:30:00,6592.28,,,
2018-12-31 15:00:00,6607.17,,,
2018-12-31 15:30:00,6609.31,,,
2018-12-31 16:00:00,6635.94,,1,
2018-12-31 16:30:00,6635.28,,,
2018-12-31 17:00:00,6635.28,1,,
2018-12-31 17:30:00,6635.28,,,
2018-12-31 18:00:00,6635.28,,,
2018-12-31 18:30:00,6635.28,,,
2018-12-31 19:00:00,6635.28,,,
2018-12-31 19:30:00,6635.28,,,
2018-12-31 20:00:00,6635.28,,,
2018-12-31 20:30:00,6635.28,,1,
2019-01-02 10:00:00,6556.12,,,
2019-01-02 10:30:00,6589.38,,,
2019-01-02 11:00:00,6623.37,,,
2019-01-02 11:30:00,6643.39,,,
2019-01-02 12:00:00,6620.1,,,
2019-01-02 12:30:00,6622.69,1,,
2019-01-02 13:00:00,6660.23,,,
2019-01-02 13:30:00,6680.76,,,1
2019-01-02 14:00:00,6693.64,,,1
2019-01-02 14:30:00,6675.38,,,
2019-01-02 15:00:00,6662.54,,,
2019-01-02 15:30:00,6638.95,,,
2019-01-02 16:00:00,6664.63,,,
2019-01-02 16:30:00,6665.94,,,
2019-01-02 17:00:00,6665.94,,1,
2019-01-02 17:30:00,6665.94,,,
2019-01-02 18:00:00,6665.94,,,
2019-01-02 18:30:00,6665.94,,,
2019-01-02 19:00:00,6665.94,1,,
2019-01-02 19:30:00,6665.94,,,
2019-01-02 20:00:00,6665.94,,,
2019-01-02 20:30:00,6665.94,,,
2019-01-03 10:00:00,6551.12,,1,
2019-01-03 10:30:00,6522.28,,,
2019-01-03 11:00:00,6512.52,,,
2019-01-03 11:30:00,6532.27,,,
2019-01-03 12:00:00,6561.25,,,
2019-01-03 12:30:00,6540.44,,,
2019-01-03 13:00:00,6553.61,,,
2019-01-03 13:30:00,6513.43,,,
2019-01-03 14:00:00,6495.56,,,
2019-01-03 14:30:00,6524.77,,,
2019-01-03 15:00:00,6485.61,,,
2019-01-03 15:30:00,6479.63,,,
2019-01-03 16:00:00,6462.16,,,
2019-01-03 16:30:00,6463.5,,,
2019-01-03 17:00:00,6463.5,,,
2019-01-03 17:30:00,6463.5,,,
2019-01-03 18:00:00,6463.5,,,
2019-01-03 18:30:00,6463.5,,,
2019-01-03 19:00:00,6463.5,,,
2019-01-03 19:30:00,6463.5,,,
