Date,Close,SMA 5,SMA 10,SMA 15,state,closePriceSMA5,closePriceSMA10,closePriceSMA15,sellSignal1,sellSignal2,buySignal1,buySignal2,exit_Signal_SMA
2017-01-03,1.0,,,,NA,NA,NA,NA,NA,NA,NA,NA,0
2017-01-04,0.998880827607,,,,NA,NA,NA,NA,NA,NA,NA,NA,0
2017-01-05,1.00396042422,,,,NA,NA,NA,NA,NA,NA,NA,NA,0
2017-01-06,1.01515286155,,,,NA,NA,NA,NA,NA,NA,NA,NA,0
2017-01-09,1.02445106856,1.00848903639,,,NA,1.0158276705055751,NA,NA,NA,NA,NA,NA,0
2017-01-10,1.02548431266,1.01358589892,,,NA,1.0117389298251407,NA,NA,NA,NA,NA,NA,0
2017-01-11,1.03099443359,1.02000862012,,,NA,1.0107703143468061,NA,NA,NA,NA,NA,NA,0
2017-01-12,1.02668968087,1.02455447145,,,NA,1.0020840369992026,NA,NA,NA,NA,NA,NA,0
2017-01-13,1.02488166422,1.02650023198,,,NA,0.99842321734556083,NA,NA,NA,NA,NA,NA,0
2017-01-17,1.03314676982,1.02823937223,1.01836420431,,NA,1.0047726217471094,1.014515990889582,NA,0,NA,0,NA,0
2017-01-18,1.03306070776,1.02975465125,1.02167027509,,NA,1.0032105283568487,1.0111488343681621,NA,0,NA,0,NA,0
2017-01-19,1.03125275353,1.02980631524,1.02490746768,,NA,1.0014045731404986,1.0061910816862409,NA,0,NA,0,NA,0
2017-01-20,1.03314676982,1.03109773303,1.02782610224,,NA,1.0019872381876023,1.0051766223599332,NA,0,NA,0,NA,0
2017-01-23,1.03383555166,1.03288851052,1.02969437125,,NA,1.0009168861205633,1.0040217568670302,NA,0,NA,0,NA,0
2017-01-24,1.0328885123,1.03283685902,1.03053811563,1.02318842255,NA,1.0000500110805057,1.0022807469641764,1.0094802575400508,0,0,0,0,0
2017-01-25,1.04933280413,1.03609127829,1.03292296477,1.02647727615,NA,1.0127802695708441,1.0158867988353668,1.0222659853286844,0,0,0,0,0
2017-01-26,1.0498493905,1.03981060568,1.03480846046,1.02987518035,NA,1.0096544358802011,1.0145349894351621,1.0193947873846592,0,0,0,0,0
2017-01-27,1.04993545256,1.04316834223,1.03713303763,1.03294018224,NA,1.0064870740972862,1.012344043113711,1.0164532957651706,0,0,0,0,0
2017-01-30,1.04718039656,1.04583731121,1.03936291087,1.03507535124,NA,1.0012842201465693,1.0075214206782681,1.0116948445379015,0,0,0,0,0
