Date,Open,High,Low,NotClose,Close,Volume,ROI,SMA 5,SMA 10,SMA 15,buySignal1,buySignal2,sellSignal1,sellSignal2,closePriceSMA5,closePriceSMA10,closePriceSMA15,ROI_8,state,exit_Signal,EMA 5,EMA 10,EMA 15,buySignal1EMA,buySignal2EMA,closePriceEMA5,closePriceEMA10,closePriceEMA15
2017-01-03,115.800003,116.33000200000001,114.760002,116.150002,1.0,28781900,,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1.0,1.0,1.0,0,0,1.0,1.0,1.0
2017-01-04,115.849998,116.510002,115.75,116.019997,0.9988808276068682,21118100,-0.001119172393131751,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,0.9996269425356228,0.9997965141103397,0.9998601034508585,0,0,0.9992536066236251,0.9990841271293227,0.9990205871395303
2017-01-05,115.91999799999999,116.860001,115.809998,116.610001,1.0039604242221958,22193600,0.005085287929188942,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1.0010714364311473,1.0005535886761316,1.0003726435472757,1,1,1.002885895737219,1.003404950603967,1.0035864442096276
2017-01-06,116.779999,118.160004,116.470001,117.910004,1.0151528615474403,31751900,0.011148285385766732,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1.005765244803245,1.0032080019254603,1.0022201707972964,0,0,1.0093338050730036,1.011906663024073,1.0129040415738746
2017-01-09,117.949997,119.43,117.940002,118.989998,1.0244510685646737,33561900,0.009159415659883763,1.0084890363882357,,,NA,NA,NA,NA,1.015827670505575,NA,NA,,NA,NA,1.0119938527237213,1.0070703776780445,1.0049990330182186,0,0,1.012309576592214,1.0172586656025997,1.0193552778732897
2017-01-10,118.769997,119.379997,118.300003,119.110001,1.0254843126592634,24462100,0.0010085831586250649,1.0135858989200883,,,NA,NA,NA,NA,1.0117389298251407,NA,NA,,NA,NA,1.0164906727022354,1.0104183658564478,1.007559692973349,0,0,1.0088477348573395,1.0149106026888628,1.0177901317519145
2017-01-11,118.739998,119.93,118.599998,119.75,1.030994433592286,27588600,0.005373188906940829,1.020008620117172,,,NA,NA,NA,NA,1.010770314346806,NA,NA,,NA,NA,1.0213252596655855,1.0141594690811457,1.0104890355507161,0,0,1.0094672816864105,1.0165999184786918,1.0202925487760435
2017-01-12,118.900002,119.300003,118.209999,119.25,1.0266896808736599,27086200,-0.004175340407636452,1.0245544714474648,,,NA,NA,NA,NA,1.0020840369992026,NA,NA,,NA,NA,1.0231134000682771,1.0164376894070573,1.0125141162160842,0,0,1.0034954881884492,1.0100861976818107,1.0140003624942553
2017-01-13,119.110001,119.620003,118.809998,119.040001,1.0248816642217615,26111900,-0.0017610157047257546,1.026500231982329,,,NA,NA,NA,NA,0.9984232173455608,NA,NA,0.0030899040668639216,NA,0,1.023702821452772,1.0179729575551852,1.014060059716794,0,0,1.001151547836233,1.0067867290730086,1.0106715617100528
2017-01-17,118.339996,120.239998,118.220001,120.0,1.0331467698231906,34439800,0.008064448696821103,1.0282393722340324,1.0183642043111338,,0,NA,0,NA,1.0047726217471094,1.014515990889582,NA,0.004237856703108028,NA,0,1.0268508042429116,1.0207318325130044,1.0164458984800935,0,0,1.0061313343226341,1.012162780580303,1.0164306544677588
