Date,Close,EMA 5,EMA 10,EMA 15,state,closePriceEMA5,closePriceEMA10,closePriceEMA15,sellSignal1EMA,sellSignal2EMA,buySignal1EMA,buySignal2EMA,exit_Signal_EMA
2017-01-03,1.0,1.0,1.0,1.0,NA,1.0,1.0,1.0,NA,NA,0,0,0
2017-01-04,0.998880827607,0.999626942536,0.99979651411,0.999860103451,NA,0.999253606624,0.999084127129,0.99902058714,NA,NA,0,0,0
2017-01-05,1.00396042422,1.00107143643,1.00055358868,1.00037264355,NA,1.00288589574,1.0034049506,1.00358644421,NA,NA,1,1,0
2017-01-06,1.01515286155,1.0057652448,1.00320800193,1.0022201708,NA,1.00933380507,1.01190666302,1.01290404157,NA,NA,0,0,0
2017-01-09,1.02445106856,1.01199385272,1.00707037768,1.00499903302,NA,1.01230957659,1.0172586656,1.01935527787,NA,NA,0,0,0
2017-01-10,1.02548431266,1.0164906727,1.01041836586,1.00755969297,NA,1.00884773486,1.01491060269,1.01779013175,NA,NA,0,0,0
2017-01-11,1.03099443359,1.02132525967,1.01415946908,1.01048903555,NA,1.00946728169,1.01659991848,1.02029254878,NA,NA,0,0,0
2017-01-12,1.02668968087,1.02311340007,1.01643768941,1.01251411622,NA,1.00349548819,1.01008619768,1.01400036249,NA,NA,0,0,0
2017-01-13,1.02488166422,1.02370282145,1.01797295756,1.01406005972,NA,1.00115154784,1.00678672907,1.01067156171,NA,NA,0,0,0
2017-01-17,1.03314676982,1.02685080424,1.02073183251,1.01644589848,NA,1.00613133432,1.01216278058,1.01643065447,0,NA,0,0,0
2017-01-18,1.03306070776,1.02892077208,1.02297344619,1.01852274964,NA,1.0040235709,1.00986072669,1.01427357232,0,NA,0,0,0
2017-01-19,1.03125275353,1.02969809923,1.0244787748,1.02011400013,NA,1.00150981565,1.00661212208,1.0109191261,0,NA,0,0,0
2017-01-20,1.03314676982,1.0308476561,1.0260547739,1.02174309634,NA,1.00223031377,1.00691190773,1.01116099881,0,NA,0,0,0
2017-01-23,1.03383555166,1.03184362128,1.02746946076,1.02325465325,NA,1.00193045761,1.00619589306,1.01034043517,0,NA,0,0,0
2017-01-24,1.0328885123,1.03219191829,1.02845474286,1.02445888564,NA,1.0006748687,1.00431109825,1.00822836991,0,0,0,0,0
2017-01-25,1.04933280413,1.0379055469,1.032250754,1.02756812545,NA,1.01100992018,1.01654835326,1.0211807647,0,0,0,0,0
2017-01-26,1.0498493905,1.0418868281,1.03545050609,1.03035328358,NA,1.00764244464,1.01390591277,1.0189217691,0,0,0,0,0
2017-01-27,1.04993545256,1.04456970292,1.03808413272,1.0328010547,NA,1.00513680382,1.01141653115,1.01659022111,0,0,0,0,0
2017-01-30,1.04718039656,1.04543993413,1.03973799887,1.03459847243,NA,1.00166481341,1.00715795488,1.01216116634,0,0,0,0,0
